order3,order4,order5,order6,order7
960.29962,796.17126,662.10938,524.27258,369.39755
960.29993,796.16394,662.11444,524.30225,369.46295
960.30017,796.15662,662.11951,524.33191,369.52835
960.30048,796.14929,662.12463,524.36151,369.59369
960.30078,796.14191,662.12964,524.39105,369.65894
960.30103,796.13458,662.13464,524.42059,369.72415
960.30133,796.12720,662.13965,524.45007,369.78931
960.30164,796.11975,662.14465,524.47955,369.85443
960.30194,796.11243,662.14960,524.50897,369.91949
960.30225,796.10498,662.15454,524.53833,369.98450
960.30249,796.09753,662.15942,524.56775,370.04947
960.30286,796.09015,662.16437,524.59705,370.11435
960.30310,796.08270,662.16919,524.62634,370.17920
960.30341,796.07526,662.17407,524.65564,370.24402
960.30371,796.06781,662.17896,524.68481,370.30875
960.30402,796.06036,662.18372,524.71399,370.37341
960.30432,796.05286,662.18854,524.74316,370.43808
960.30469,796.04541,662.19330,524.77228,370.50266
960.30493,796.03790,662.19812,524.80139,370.56720
960.30530,796.03040,662.20282,524.83044,370.63168
960.30554,796.02289,662.20752,524.85950,370.69611
960.30591,796.01538,662.21228,524.88843,370.76050
960.30615,796.00781,662.21692,524.91742,370.82480
960.30652,796.00024,662.22156,524.94629,370.88907
960.30676,795.99274,662.22620,524.97522,370.95331
960.30713,795.98523,662.23083,525.00409,371.01746
960.30743,795.97766,662.23547,525.03290,371.08160
960.30774,795.97003,662.23999,525.06165,371.14563
960.30804,795.96240,662.24451,525.09045,371.20966
960.30835,795.95483,662.24908,525.11914,371.27362
960.30872,795.94727,662.25366,525.14783,371.33752
960.30896,795.93964,662.25812,525.17651,371.40137
960.30933,795.93201,662.26257,525.20508,371.46521
960.30963,795.92432,662.26709,525.23364,371.52893
960.30994,795.91675,662.27148,525.26227,371.59265
960.31030,795.90906,662.27594,525.29077,371.65631
960.31061,795.90137,662.28033,525.31921,371.71991
960.31091,795.89368,662.28467,525.34772,371.78345
960.31128,795.88599,662.28906,525.37616,371.84692
960.31165,795.87836,662.29346,525.40454,371.91040
960.31189,795.87067,662.29773,525.43286,371.97375
960.31226,795.86292,662.30206,525.46124,372.03711
960.31262,795.85522,662.30634,525.48950,372.10040
960.31293,795.84747,662.31061,525.51776,372.16364
960.31323,795.83972,662.31482,525.54596,372.22684
960.31360,795.83203,662.31909,525.57422,372.28998
960.31390,795.82422,662.32330,525.60229,372.35306
960.31427,795.81647,662.32751,525.63049,372.41611
960.31458,795.80872,662.33167,525.65857,372.47906
960.31494,795.80090,662.33582,525.68665,372.54202
960.31531,795.79309,662.33997,525.71466,372.60492
960.31567,795.78528,662.34406,525.74268,372.66772
960.31598,795.77753,662.34814,525.77063,372.73053
960.31628,795.76965,662.35223,525.79852,372.79327
960.31665,795.76184,662.35626,525.82648,372.85593
960.31702,795.75403,662.36029,525.85431,372.91858
960.31738,795.74615,662.36432,525.88214,372.98114
960.31769,795.73828,662.36829,525.90997,373.04367
960.31805,795.73047,662.37231,525.93774,373.10614
960.31836,795.72253,662.37622,525.96545,373.16858
960.31873,795.71472,662.38019,525.99316,373.23096
960.31909,795.70679,662.38409,526.02087,373.29327
960.31946,795.69885,662.38800,526.04846,373.35553
960.31982,795.69098,662.39191,526.07611,373.41779
960.32019,795.68304,662.39575,526.10370,373.47998
960.32056,795.67517,662.39960,526.13123,373.54205
960.32092,795.66718,662.40344,526.15875,373.60416
960.32129,795.65918,662.40723,526.18622,373.66620
960.32166,795.65125,662.41101,526.21368,373.72815
960.32202,795.64331,662.41479,526.24109,373.79010
960.32239,795.63538,662.41858,526.26843,373.85196
960.32275,795.62738,662.42224,526.29584,373.91379
960.32312,795.61938,662.42596,526.32318,373.97559
960.32349,795.61133,662.42969,526.35046,374.03729
960.32385,795.60333,662.43335,526.37769,374.09897
960.32422,795.59534,662.43701,526.40497,374.16058
960.32458,795.58728,662.44067,526.43213,374.22217
960.32501,795.57928,662.44421,526.45929,374.28369
960.32538,795.57123,662.44788,526.48645,374.34518
960.32581,795.56311,662.45142,526.51355,374.40662
960.32617,795.55511,662.45496,526.54065,374.46799
960.32654,795.54700,662.45856,526.56763,374.52933
960.32690,795.53894,662.46204,526.59467,374.59061
960.32727,795.53088,662.46558,526.62164,374.65186
960.32764,795.52277,662.46906,526.64856,374.71301
960.32812,795.51465,662.47253,526.67548,374.77417
960.32849,795.50653,662.47595,526.70239,374.83527
960.32886,795.49841,662.47937,526.72925,374.89630
960.32922,795.49023,662.48285,526.75604,374.95728
960.32959,795.48218,662.48621,526.78284,375.01819
960.33008,795.47400,662.48962,526.80957,375.07910
960.33044,795.46582,662.49292,526.83630,375.13995
960.33081,795.45764,662.49634,526.86304,375.20071
960.33124,795.44946,662.49963,526.88965,375.26147
960.33167,795.44128,662.50293,526.91632,375.32214
960.33203,795.43311,662.50623,526.94287,375.38281
960.33246,795.42493,662.50952,526.96948,375.44339
960.33289,795.41663,662.51270,526.99603,375.50394
960.33325,795.40845,662.51599,527.02252,375.56445
960.33368,795.40027,662.51917,527.04901,375.62488
960.33411,795.39197,662.52240,527.07544,375.68530
960.33447,795.38379,662.52551,527.10187,375.74564
960.33496,795.37549,662.52869,527.12830,375.80597
960.33533,795.36719,662.53186,527.15466,375.86621
960.33582,795.35895,662.53497,527.18091,375.92642
960.33618,795.35071,662.53809,527.20721,375.98657
960.33661,795.34241,662.54114,527.23352,376.04669
960.33704,795.33411,662.54425,527.25977,376.10675
960.33746,795.32581,662.54724,527.28589,376.16678
960.33789,795.31744,662.55029,527.31207,376.22675
960.33832,795.30914,662.55334,527.33826,376.28665
960.33875,795.30078,662.55634,527.36438,376.34653
960.33917,795.29248,662.55933,527.39044,376.40637
960.33960,795.28418,662.56226,527.41650,376.46613
960.34009,795.27576,662.56519,527.44250,376.52588
960.34045,795.26740,662.56812,527.46851,376.58554
960.34094,795.25903,662.57104,527.49451,376.64520
960.34137,795.25061,662.57397,527.52039,376.70477
960.34180,795.24231,662.57678,527.54633,376.76428
960.34229,795.23389,662.57971,527.57214,376.82379
960.34271,795.22546,662.58252,527.59802,376.88324
960.34314,795.21704,662.58533,527.62378,376.94263
960.34363,795.20862,662.58813,527.64960,377.00198
960.34406,795.20020,662.59094,527.67535,377.06128
960.34448,795.19177,662.59369,527.70105,377.12054
960.34497,795.18335,662.59644,527.72675,377.17975
960.34546,795.17480,662.59918,527.75244,377.23889
960.34589,795.16638,662.60187,527.77808,377.29800
960.34631,795.15796,662.60455,527.80365,377.35709
960.34680,795.14941,662.60724,527.82922,377.41608
960.34729,795.14093,662.60992,527.85474,377.47507
960.34778,795.13245,662.61255,527.88025,377.53400
960.34821,795.12396,662.61517,527.90576,377.59286
960.34863,795.11542,662.61780,527.93121,377.65170
960.34912,795.10693,662.62036,527.95667,377.71048
960.34961,795.09839,662.62292,527.98199,377.76923
960.35010,795.08984,662.62549,528.00739,377.82788
960.35059,795.08130,662.62805,528.03271,377.88654
960.35107,795.07275,662.63055,528.05804,377.94513
960.35156,795.06421,662.63306,528.08325,378.00369
960.35205,795.05566,662.63556,528.10852,378.06219
960.35254,795.04706,662.63806,528.13373,378.12064
960.35297,795.03845,662.64050,528.15894,378.17908
960.35352,795.02985,662.64294,528.18408,378.23743
960.35394,795.02124,662.64539,528.20923,378.29572
960.35449,795.01263,662.64771,528.23431,378.35400
960.35498,795.00403,662.65015,528.25940,378.41223
960.35547,794.99536,662.65247,528.28442,378.47040
960.35596,794.98676,662.65485,528.30945,378.52856
960.35645,794.97815,662.65717,528.33447,378.58661
960.35693,794.96948,662.65948,528.35938,378.64465
960.35742,794.96082,662.66174,528.38428,378.70267
960.35797,794.95215,662.66406,528.40918,378.76062
960.35846,794.94348,662.66632,528.43408,378.81851
960.35901,794.93481,662.66858,528.45892,378.87637
960.35950,794.92615,662.67078,528.48376,378.93420
960.35999,794.91742,662.67297,528.50848,378.99194
960.36053,794.90869,662.67517,528.53326,379.04968
960.36108,794.90002,662.67737,528.55798,379.10736
960.36157,794.89124,662.67957,528.58270,379.16498
960.36206,794.88257,662.68170,528.60730,379.22253
960.36261,794.87378,662.68384,528.63196,379.28009
960.36316,794.86505,662.68591,528.65656,379.33759
960.36365,794.85632,662.68805,528.68115,379.39502
960.36420,794.84753,662.69012,528.70569,379.45242
960.36475,794.83875,662.69214,528.73022,379.50977
960.36523,794.83002,662.69421,528.75476,379.56708
960.36584,794.82123,662.69629,528.77917,379.62436
960.36633,794.81244,662.69824,528.80359,379.68158
960.36688,794.80365,662.70026,528.82800,379.73874
960.36743,794.79480,662.70227,528.85242,379.79587
960.36792,794.78601,662.70422,528.87677,379.85297
960.36853,794.77722,662.70618,528.90112,379.91000
960.36908,794.76837,662.70807,528.92542,379.96698
960.36963,794.75952,662.70996,528.94965,380.02393
960.37018,794.75073,662.71191,528.97388,380.08084
960.37073,794.74182,662.71375,528.99811,380.13770
960.37128,794.73303,662.71564,529.02228,380.19452
960.37183,794.72412,662.71747,529.04645,380.25128
960.37244,794.71521,662.71930,529.07056,380.30798
960.37299,794.70636,662.72107,529.09467,380.36469
960.37354,794.69751,662.72290,529.11877,380.42133
960.37415,794.68860,662.72473,529.14276,380.47791
960.37469,794.67969,662.72644,529.16681,380.53445
960.37524,794.67078,662.72821,529.19080,380.59094
960.37585,794.66187,662.72992,529.21472,380.64743
960.37640,794.65289,662.73169,529.23871,380.70383
960.37701,794.64398,662.73334,529.26257,380.76019
960.37756,794.63501,662.73505,529.28650,380.81653
960.37817,794.62610,662.73669,529.31030,380.87280
960.37878,794.61719,662.73834,529.33411,380.92902
960.37933,794.60815,662.73999,529.35791,380.98523
960.37988,794.59918,662.74158,529.38165,381.04138
960.38049,794.59021,662.74316,529.40540,381.09747
960.38110,794.58124,662.74481,529.42914,381.15356
960.38171,794.57227,662.74634,529.45282,381.20953
960.38232,794.56323,662.74792,529.47644,381.26553
960.38293,794.55420,662.74945,529.50012,381.32147
960.38354,794.54517,662.75098,529.52368,381.37732
960.38416,794.53619,662.75250,529.54724,381.43320
