oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
334215200022630,56530188,2458319.8076551314,58319.3018866,14.313507,0.01990045,0,zr,282.4644286,-13.676209300000000,0.78399998,0.0070000002,20180720301887,334,15,2,19.2800007,26.114305,0.035488248,0.10065652,2.33441169E-05,30.0,1.60000002,3
334215200022630,56530234,2458319.8081180197,58319.3023495,14.318343,0.01989781,0,zr,282.4644411,-13.676185600000000,0.44800001,0.0060000001,20180720302338,334,15,2,19.1299992,26.109159,0.040937960,0.10301692,3.16433398E-05,30.0,1.60000002,3
334215200022630,56530280,2458319.8085694076,58319.3028009,14.311767,0.01990141,0,zr,282.4644330,-13.676162900000000,0.84100002,0.0010000000,20180720302789,334,15,2,19.2199993,26.124559,0.039748803,0.10023621,2.99807853E-05,30.0,1.60099995,3
334215200022630,56530325,2458319.8090207963,58319.3032523,14.325144,0.01989412,0,zr,282.4644345,-13.676179900000000,1.40100002,-0.0179999992,20180720303252,334,15,2,19.4300003,26.138985,0.029792681,0.10048847,1.64921003E-05,30.0,1.60099995,3
334215200022630,56530371,2458319.8094837847,58319.3037153,14.324289,0.01989458,0,zr,282.4644482,-13.676171600000000,0.78399998,-0.0140000004,20180720303704,334,15,2,19.6399994,26.156128,0.027270567,0.10167730,1.38173573E-05,30.0,1.60200000,3
334215200022630,56530416,2458319.8099351730,58319.3041667,14.334352,0.01988919,0,zr,282.4644462,-13.676171100000000,0.49800000,-0.0070000002,20180720304167,334,15,2,19.6800003,26.161228,0.026088262,0.10101026,1.25506940E-05,30.0,1.60300004,3
334215200022630,56530462,2458319.8103980618,58319.3046296,14.340654,0.01988584,0,zr,282.4644606,-13.676166900000000,0.95999998,-0.0179999992,20180720304618,334,15,2,19.7500000,26.157553,0.023810126,0.09665249,1.04467872E-05,30.0,1.60300004,3
334215200022630,56530508,2458319.8108494500,58319.3050810,14.351151,0.01988034,0,zr,282.4644479,-13.676177200000000,0.93500000,-0.0140000004,20180720305081,334,15,2,19.6700001,26.162088,0.026825752,0.09066873,1.34048605E-05,30.0,1.60399997,3
334215200022630,56530554,2458319.8113124380,58319.3055440,14.314562,0.01989987,0,zr,282.4644444,-13.676188000000000,1.67299998,-0.0240000002,20180720305532,334,15,2,19.4899998,26.140364,0.030964509,0.09547003,1.79421695E-05,30.0,1.60500002,3
334215200022630,56530599,2458319.8117638254,58319.3059954,14.302910,0.01990630,0,zr,282.4644146,-13.676161300000000,1.01600003,0.0130000003,20180720305995,334,15,2,19.2600002,26.113674,0.035126772,0.10566755,2.28382796E-05,30.0,1.60599995,3
334215200022630,56530645,2458319.8122267146,58319.3064583,14.353511,0.01987911,0,zr,282.4644531,-13.676183000000000,0.94400001,-0.0199999996,20180720306447,334,15,2,19.8299999,26.165461,0.022777490,0.10166436,9.53422295E-06,30.0,1.60599995,3
