! Standard star
HD 162208,17 47 58.5586633317,+39 58 50.962376468,2000,-9.921,127.608
! Object A
J1849-1340,18 49 51.4652694192,-13 40 34.145445801,2000,2.629,-13.962
! Object B
J1831+2656,18 31 18.5910709557,+26 56 12.110750070,2000,-1.889,0.673
! Object C
J2046+5147,20 46 38.1682876552,+51 47 35.596475716,2000,3.212,-7.800
! Object D
J1630+1801,16 30 45.4572676861,+18 01 20.389890029,2000,-6.627,-2.770
! Object F
J2130+4420,21 30 53.2370382207,+44 20 26.490365807,2000,-3.965,-2.919
