oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
637211400028786,44450478,2458199.0042919420,58198.504780100000,15.1996765,0.00999060553,0,zr,277.8274462,26.9367147,0.515999973,-0.0140000004,20180321504711,637,11,4,21.5499992,26.3762226,0.0162759256,0.0821420103,6.31986359E-06,30.0,1.16299999,1
637211400028786,44452707,2458199.0265850540,58198.527071800000,15.0716324,0.00987286773,0,zr,277.8274514,26.9367190,0.451999992,0.0390000008,20180321527049,637,11,4,21.3400002,26.3715973,0.0136162601,0.0813150555,4.32650768E-06,30.0,1.09500003,1
637211400028786,46348543,2458217.9861569717,58217.485439800000,14.7226753,0.00962200016,0,zr,277.8274463,26.9367324,0.542999983,0.0099999998,20180409485394,637,11,4,20.9500008,26.3318367,0.0135654658,0.0848750547,4.37834296E-06,30.0,1.07099998,1
637211400028786,46350767,2458218.0083921826,58217.507673600000,14.7988472,0.00966904406,0,zr,277.8274531,26.9367278,0.639999986,-0.0040000002,20180409507639,637,11,4,20.9799995,26.3274364,0.0132849002,0.0839415491,4.13336284E-06,30.0,1.03400004,1
637211400028786,46846993,2458222.9709601277,58222.469930600000,15.8854008,0.01095895655,0,zr,277.8274522,26.9367276,0.509999990,-0.0070000002,20180414469873,637,11,4,21.0200005,26.3255672,0.0125120990,0.0867305622,3.67336770E-06,30.0,1.07500005,1
637211400028786,46849259,2458222.9936235435,58222.492592600000,15.3865452,0.01019266993,0,zr,277.8274489,26.9367545,0.595000029,-0.0040000002,20180414492581,637,11,4,20.6000004,26.3389244,0.0145701366,0.0876249820,5.00998658E-06,30.0,1.03600001,1
637211400028786,47244069,2458226.9419684084,58226.440694400000,14.7548342,0.00964138564,0,zr,277.8274500,26.9367281,0.555000007,0.0230000000,20180418440671,637,11,4,21.0900002,26.3211441,0.0147600267,0.0845952332,5.18773868E-06,30.0,1.12199998,1
637211400028786,47248384,2458226.9851192570,58226.483842600000,14.7240191,0.00962279830,0,zr,277.8274569,26.9367299,0.442000002,0.0120000001,20180418483796,637,11,4,21.0000000,26.3271751,0.0136416797,0.0863349661,4.36852952E-06,30.0,1.03299999,1
637211400028786,47544246,2458229.9439207860,58229.442465300000,15.2282953,0.01001911238,0,zr,277.8274382,26.9367283,0.240999997,0.0140000004,20180421442442,637,11,4,21.0499992,26.3541183,0.0147082862,0.0799440518,5.12844781E-06,30.0,1.09500003,1
637211400028786,47841909,2458232.9207292423,58232.419097200000,15.3047943,0.01009953581,32768,zr,277.8274631,26.9368050,3.602999926,-0.1260000020,20180424419074,637,11,4,19.4599991,25.2807922,0.0999007076,0.0970570147,2.38883295E-04,30.0,1.13900006,1
637211400028786,49047827,2458244.9805799440,58244.478275500000,14.9927530,0.00980776642,0,zr,277.8274637,26.9368407,6.216000080,-0.2199999988,20180506478229,637,11,4,20.0499992,26.3242531,0.0184174329,0.0934544876,8.06753724E-06,30.0,1.00800002,1
637211400028786,49343364,2458247.9361025267,58247.433645800000,15.4362555,0.01025317237,0,zr,277.8274364,26.9368285,3.931999922,-0.1129999980,20180509433634,637,11,4,20.7199993,26.3568020,0.0200107321,0.0843671709,9.74714021E-06,30.0,1.02499998,1
637211400028786,49549263,2458249.9951983555,58249.492638900000,14.9917688,0.00980698690,0,zr,277.8276085,26.9369258,1.215999961,-0.0189999994,20180511492627,637,11,4,19.3700008,26.3712769,0.0286627281,0.0904796869,2.01400417E-05,30.0,1.02300000,1
637211400028786,49841495,2458252.9176539920,58252.414953700000,14.8060732,0.00967371278,0,zr,277.8274408,26.9367134,1.365000010,-0.0599999987,20180514414919,637,11,4,21.2999992,26.3527317,0.0127470531,0.0874103233,3.88853823E-06,30.0,1.03100002,1
637211400028786,50144112,2458255.9439622597,58255.441122700000,15.3659992,0.01016853377,0,zr,277.8274652,26.9367241,0.714999974,-0.0469999984,20180517441123,637,11,4,21.1800003,26.3624897,0.0119494442,0.0832885727,3.34209744E-06,30.0,1.00899994,1
637211400028786,50443699,2458258.9399611885,58258.436990700000,15.1251955,0.00992022920,0,zr,277.8274203,26.9368416,7.211999893,-0.1809999943,20180520436956,637,11,4,20.7500000,26.3325672,0.0200065188,0.0884590000,9.50280173E-06,30.0,1.00800002,1
637211400028786,50838289,2458262.8860253743,58262.382893500000,14.8790512,0.00972296111,0,zr,277.8274223,26.9368738,1.702000022,0.1070000008,20180524382859,637,11,4,20.2900009,26.3853168,0.0236665402,0.0871601179,1.80057723E-05,30.0,1.03699994,1
637211400028786,51233584,2458266.8391252863,58266.335844900000,16.1847191,0.01163302362,0,zr,277.8274510,26.9367221,0.592999995,-0.0289999992,20180528335833,637,11,4,20.3999996,26.3240528,0.0148865497,0.0812107995,5.32412605E-06,30.0,1.11000001,1
637211400028786,51541709,2458269.9204815775,58269.417094900000,14.7491961,0.00963793881,0,zr,277.8274569,26.9367119,1.141999960,-0.0549999997,20180531417049,637,11,4,20.5200005,26.3558445,0.0137922559,0.0794903263,4.54861356E-06,30.0,1.00999999,1
637211400028786,51640424,2458270.9076666157,58270.404247700000,14.8827486,0.00972556043,0,zr,277.8274534,26.9367255,0.523000002,0.0599999987,20180601404155,637,11,4,20.1200008,26.3159771,0.0146251032,0.0801707581,5.15918646E-06,30.0,1.00800002,1
637211400028786,51640471,2458270.9081295305,58270.404710600000,14.8883190,0.00972949527,0,zr,277.8274566,26.9367221,0.667999983,-0.0309999995,20180601404699,637,11,4,20.2199993,26.3185730,0.0138343405,0.0789561644,4.50157495E-06,30.0,1.00800002,1
637211400028786,51844153,2458272.9450220110,58272.441539400000,15.3874645,0.01019376237,0,zr,277.8274477,26.9367461,1.618000031,0.0649999976,20180603441528,637,11,4,20.5799999,26.3403473,0.0171544272,0.0858066082,7.10290715E-06,30.0,1.03699994,1
637211400028786,52433178,2458278.8354271464,58278.331782400000,14.7495852,0.00963817537,0,zr,277.8274373,26.9367238,0.820999980,-0.0170000009,20180609331771,637,11,4,21.3799992,26.3428288,0.0130087249,0.0836690739,4.08608412E-06,30.0,1.04799998,1
637211400028786,52735776,2458281.8614810905,58281.357766200000,15.3313437,0.01012894046,0,zr,277.8274517,26.9367357,1.138000011,-0.0299999993,20180612357755,637,11,4,21.3600006,26.3476524,0.0133161079,0.0806967989,4.16549847E-06,30.0,1.01199996,1
637211400028786,53032946,2458284.8332424040,58284.329467600000,15.3013506,0.01009577792,0,zr,277.8274444,26.9367173,0.625000000,-0.0379999988,20180615329433,637,11,4,21.1900005,26.2764053,0.0139297256,0.0799689889,4.59658213E-06,30.0,1.02900004,1
637211400028786,53333261,2458287.8364418730,58287.332615700000,14.7482777,0.00963737816,0,zr,277.8274548,26.9367253,0.620000005,0.0329999998,20180618332153,637,11,4,21.4300003,26.3605881,0.0115491739,0.0845926031,3.14388535E-06,30.0,1.01800001,1
637211400028786,53637479,2458290.8786603976,58290.374791700000,15.7897987,0.01078162715,0,zr,277.8274502,26.9367225,0.495000005,0.0109999999,20180621374745,637,11,4,21.5000000,26.3496227,0.0138818175,0.0822764784,4.59597823E-06,30.0,1.01800001,1
637211400028786,53929866,2458293.8025694853,58293.298669000000,15.2743626,0.01006678957,0,zr,277.8274435,26.9367227,0.662999988,-0.0509999990,20180624298623,637,11,4,20.7500000,26.3591747,0.0139137311,0.0794669166,4.64355298E-06,30.0,1.03699994,1
637211400028786,54231716,2458296.8210883285,58296.317164400000,14.7770605,0.00965518784,0,zr,277.8274452,26.9367305,0.541000009,-0.0070000002,20180627317153,637,11,4,20.2700005,26.3366699,0.0134617984,0.0784447491,4.25123017E-06,30.0,1.01300001,1
637211400028786,54537504,2458299.8789841966,58299.375046300000,15.3934946,0.01020094659,0,zr,277.8274845,26.9367980,1.277999997,0.0160000008,20180630375035,637,11,4,19.8099995,26.3052731,0.0192220081,0.0931540504,8.83212942E-06,30.0,1.04799998,1
637211400028786,55135775,2458305.8616913010,58305.357754600000,15.0996857,0.00989734568,0,zr,277.8274326,26.9367275,0.535000026,-0.0260000005,20180706357674,637,11,4,20.8199997,26.2998047,0.0125913806,0.0853597671,3.67774578E-06,30.0,1.04700005,1
637211400028786,55433606,2458308.8399867690,58308.336064800000,15.3920403,0.01019920968,32768,zr,277.8274553,26.9367134,0.648999989,-0.0309999995,20180709335984,637,11,4,19.7500000,25.1175575,0.0243602414,0.0730596706,1.39601452E-05,30.0,1.02900004,1
637211400028786,55738108,2458311.8849851545,58311.381088000000,14.7994967,0.00966946222,0,zr,277.8274513,26.9367048,1.189000010,-0.0160000008,20180712381076,637,11,4,21.3899994,26.1280289,0.0147448136,0.0835388899,5.15691954E-06,30.0,1.14199996,1
637211400028786,56634694,2458320.8507121890,58320.346944400000,14.7792063,0.00965653826,0,zr,277.8274427,26.9367115,0.825999975,-0.0160000008,20180721346910,637,11,4,21.4599991,26.3435841,0.0148149375,0.0820062831,5.26061922E-06,30.0,1.11300004,1
637211400028786,56923121,2458323.7349240333,58323.231215300000,14.8407125,0.00969660562,0,zr,277.8274632,26.9367144,0.268999994,0.0270000007,20180724231123,637,11,4,20.7199993,26.3475800,0.0184366163,0.0772361457,8.16923148E-06,30.0,1.02199996,1
637211400028786,57231476,2458326.8184049370,58326.314768500000,15.2948151,0.01008868590,0,zr,277.8274557,26.9367108,0.754999995,0.0010000000,20180727314757,637,11,4,20.2700005,26.3287258,0.0159866065,0.0790936276,6.09456811E-06,30.0,1.07400000,1
637211400028786,57531618,2458329.8197377864,58329.316180600000,14.7570362,0.00964273792,0,zr,277.8274481,26.9367256,0.634000003,-0.0450000018,20180730316169,637,11,4,20.5100002,26.2775764,0.0135293072,0.0811606795,4.28240992E-06,30.0,1.09700000,1
637211400028786,57933197,2458333.8354169380,58333.331979200000,15.3643913,0.01016666647,0,zr,277.8274671,26.9367194,0.379999995,0.0030000000,20180803331968,637,11,4,21.1399994,26.2641201,0.0162740108,0.0830573738,6.17438764E-06,30.0,1.18200004,1
637211400028786,58222430,2458336.7276480743,58336.224305600000,15.2701445,0.01006233133,0,zr,277.8274555,26.9367263,0.656000018,0.0099999998,20180806224259,637,11,4,21.4300003,26.3700294,0.0125764608,0.0828731060,3.69218901E-06,30.0,1.00999999,1
637211400028786,58420736,2458338.7106338525,58338.207361100000,14.8596344,0.00970947742,0,zr,277.8274549,26.9367220,1.254999995,-0.0049999999,20180808207361,637,11,4,21.4099998,26.3298626,0.0193184223,0.0775392652,8.95494486E-06,30.0,1.01199996,3
637211400028786,58630247,2458340.8056721780,58340.302476900000,15.2499809,0.01004127692,0,zr,277.8274574,26.9367208,0.767000020,-0.0240000002,20180810302407,637,11,4,20.8999996,26.0050106,0.0147047183,0.0880417004,5.10300197E-06,30.0,1.14600003,1
637211400028786,58630340,2458340.8065980435,58340.303402800000,15.2632837,0.01005511917,0,zr,277.8274738,26.9367140,0.912000000,-0.0729999989,20180810303391,637,11,4,20.9200001,25.9963646,0.0141873183,0.0861594453,4.71618796E-06,30.0,1.14900005,3
637211400028786,58932421,2458343.8272899017,58343.324213000000,15.1743689,0.00996608380,0,zr,277.8274604,26.9367179,0.513000011,-0.0109999999,20180813324201,637,11,4,21.3099995,26.2898579,0.0132433716,0.0840812325,4.10939583E-06,30.0,1.27199996,3
637211400028786,58932512,2458343.8282041643,58343.325127300000,15.1702919,0.00996219274,0,zr,277.8274647,26.9367148,0.732999980,-0.0130000003,20180813325116,637,11,4,21.4400005,26.2897625,0.0133459643,0.0843908861,4.19885282E-06,30.0,1.27699995,1
637211400028786,59017300,2458344.6760516270,58344.173009300000,15.9919710,0.01117702015,0,zr,277.8274433,26.9367244,1.152999997,-0.0299999993,20180814172975,637,11,4,21.2399998,26.2820892,0.0152158746,0.0858631283,5.52112624E-06,30.0,1.02300000,3
637211400028786,59132534,2458345.8283415316,58345.325347200000,14.7320385,0.00962757505,0,zr,277.8274529,26.9367272,0.754999995,-0.0419999994,20180815325336,637,11,4,21.1200008,26.2562580,0.0128739476,0.0806307495,4.01545094E-06,30.0,1.30999994,3
