oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
584205200022855,44445795,2458198.960238589,58198.4579514,15.6076641,0.0118170911,0,zr,247.6893833,18.022337500000000,0.479000002,-0.00700000022,20180321457928,584,5,2,21.6000004,26.2478676,0.021790687,0.101170182,5.63461663E-06,30.0,1.079,1
584205200022855,44446037,2458198.962657756,58198.4603704,15.6189461,0.0118337004,0,zr,247.6893753,18.022345000000000,1.472000003,0.05799999833,20180321460324,584,5,2,21.5799999,26.2481537,0.021201378,0.101806618,5.26508165E-06,30.0,1.074,1
584205200022855,46236929,2458216.872687928,58216.3692940,15.6070442,0.0118161850,0,zr,247.6893973,18.022378500000000,0.601000011,-0.01300000027,20180408369282,584,5,2,20.8199997,26.1515388,0.024590740,0.113498166,7.05752245E-06,30.0,1.187,1
584205200022855,46240759,2458216.910988625,58216.4075926,15.6584120,0.0118935825,0,zr,247.6893977,18.022415600000000,0.588000000,0.01300000027,20180408407581,584,5,2,20.2600002,26.1596985,0.031184800,0.110938430,1.13814731E-05,30.0,1.081,1
584205200022855,46442853,2458218.932033661,58218.4285301,15.6082773,0.0118179871,0,zr,247.6893855,18.022386400000000,0.986999989,-0.03299999982,20180410428530,584,5,2,21.0799999,26.1774426,0.024018288,0.112598099,6.76811624E-06,30.0,1.044,2
584205200022855,46542246,2458219.926020280,58219.4224653,15.5991879,0.0118047586,0,zr,247.6894478,18.022460200000000,2.095999956,-0.07000000030,20180411422454,584,5,2,20.8299999,26.1835213,0.028277325,0.116380915,9.46024920E-06,30.0,1.048,2
584205200022855,46544425,2458219.947815399,58219.4442593,15.6257677,0.0118438499,0,zr,247.6894603,18.022482400000000,2.009000063,0.12800000608,20180411444259,584,5,2,20.2600002,26.0500317,0.034854833,0.112628534,1.43114530E-05,30.0,1.034,1
584205200022855,46547196,2458219.975525119,58219.4719676,15.6404552,0.0118659893,0,zr,247.6894632,18.022443000000000,0.620000005,0.02300000004,20180411471968,584,5,2,20.5799999,26.1505108,0.027708955,0.116882928,9.06555942E-06,30.0,1.040,1
584205200022855,46843402,2458222.937732555,58222.4340278,15.6151934,0.0118281506,0,zr,247.6893986,18.022370200000000,1.269999981,-0.01400000043,20180414434016,584,5,2,21.0200005,26.1953831,0.023597321,0.112437516,6.49105323E-06,30.0,1.035,1
584205200022855,46845313,2458222.956842275,58222.4531366,15.6048098,0.0118129235,0,zr,247.6894154,18.022367000000000,0.481000006,-0.02999999933,20180414453125,584,5,2,21.0900002,26.1918545,0.023397917,0.111266688,6.43349131E-06,30.0,1.034,1
584205200022855,46851142,2458223.015132070,58222.5114236,15.5862017,0.0117861079,0,zr,247.6893669,18.022368100000000,0.694000006,-0.00300000003,20180414511412,584,5,2,20.5699997,26.1892872,0.026586404,0.112277143,8.24299968E-06,30.0,1.114,2
584205200022855,47241694,2458226.920832682,58226.4169444,15.6436081,0.0118707921,0,zr,247.6893899,18.022367200000000,1.062999964,0.02600000054,20180418416840,584,5,2,21.2299995,26.2018585,0.022137763,0.109584831,5.71538067E-06,30.0,1.037,1
584205200022855,47245935,2458226.963242044,58226.4593519,15.6173954,0.0118314037,0,zr,247.6893929,18.022367300000000,0.861000001,0.00800000038,20180418459340,584,5,2,21.2500000,26.1864243,0.023454573,0.107285306,6.42142732E-06,30.0,1.045,1
584205200022855,47541825,2458229.922267465,58229.4182523,15.6542950,0.0118872067,0,zr,247.6893760,18.022348900000000,0.550999999,0.02500000037,20180421418252,584,5,2,21.1700001,26.2246380,0.020990547,0.104818217,5.17102626E-06,30.0,1.034,1
584205200022855,48931472,2458243.819189126,58243.3147222,15.6380224,0.0118622947,0,zr,247.6894031,18.022351500000000,0.768999994,-0.00999999978,20180505314722,584,5,2,20.8500004,26.2107506,0.023104325,0.108017907,6.31473767E-06,30.0,1.125,1
584205200022855,49238137,2458246.885912556,58246.3813773,15.6337967,0.0118559049,0,zr,247.6894708,18.022467100000000,5.461999893,-0.21999999881,20180508381377,584,5,2,20.7199993,26.2283115,0.033794630,0.125557914,1.74239358E-05,30.0,1.034,1
584205200022855,49541516,2458249.919753222,58249.4151620,15.6028852,0.0118101230,0,zr,247.6895552,18.022587000000000,3.019999981,0.02700000070,20180511415162,584,5,2,20.2999992,26.2039967,0.034091368,0.122411005,1.50259648E-05,30.0,1.068,1
584205200022855,50129505,2458255.799724174,58255.2950579,15.5735178,0.0117681697,0,zr,247.6894144,18.022418100000000,1.417999983,0.10499999672,20180517295012,584,5,2,21.1200008,26.2000523,0.025230445,0.116437085,7.40006044E-06,30.0,1.093,1
584205200022855,50731435,2458261.819048767,58261.3143519,16.1098404,0.0128096379,0,zr,247.6894964,18.022589700000000,3.427999973,-0.09700000286,20180523314352,584,5,2,20.1800003,26.2042198,0.036911059,0.116063878,2.09777445E-05,30.0,1.042,1
584205200022855,52229412,2458276.798692072,58276.2941204,15.5732231,0.0117677571,0,zr,247.6893758,18.022331800000000,1.065000057,-0.02199999988,20180607294109,584,5,2,21.6299992,26.2094021,0.020561192,0.103925884,5.01423892E-06,30.0,1.034,1
584205200022855,52527642,2458279.780936596,58279.2764236,15.6383247,0.0118627539,0,zr,247.6893963,18.022344700000000,0.598999977,0.00899999961,20180610276400,584,5,2,21.3199997,26.2252254,0.020361612,0.099475875,4.83117174E-06,30.0,1.036,1
584205200022855,52831621,2458282.820657196,58282.3162153,15.6508732,0.0118819270,0,zr,247.6893712,18.022349400000000,0.679000020,-0.05000000075,20180613316181,584,5,2,21.1299992,26.1187019,0.022367349,0.111569159,5.96300652E-06,30.0,1.056,1
584205200022855,53129600,2458285.800368218,58285.2960069,15.5194721,0.0116947498,32768,zr,247.6893943,18.022354200000000,1.031000018,0.03799999878,20180616295972,584,5,2,20.2500000,25.3205261,0.071607113,0.098700717,6.09990675E-05,30.0,1.044,1
584205200022855,53429815,2458288.802429180,58288.2981597,15.5983171,0.0118034985,0,zr,247.6893637,18.022375700000000,1.019000053,0.05000000075,20180619298125,584,5,2,21.3400002,26.2143764,0.023042202,0.104574822,6.36710411E-06,30.0,1.054,1
584205200022855,53727381,2458291.777987601,58291.2738194,15.6413183,0.0118673006,0,zr,247.6893943,18.022371700000000,0.911000013,-0.06599999964,20180622273819,584,5,2,20.7800007,26.2107811,0.025030231,0.112302534,7.41483154E-06,30.0,1.040,1
584205200022855,54030782,2458294.811878814,58294.3078241,15.6063662,0.0118151950,0,zr,247.6893858,18.022344400000000,0.463000000,-0.02800000086,20180625307766,584,5,2,20.5000000,26.2096977,0.026158607,0.107395321,8.18714307E-06,30.0,1.099,1
584205200022855,54329342,2458297.797359187,58297.2934259,15.6052408,0.0118135531,0,zr,247.6894035,18.022355700000000,0.919000030,0.05700000003,20180628293391,584,5,2,20.0799999,26.1982956,0.030003836,0.111740470,1.05457084E-05,30.0,1.086,1
584205200022855,54633369,2458300.837492060,58300.3336921,15.6444016,0.0118720029,0,zr,247.6893725,18.022347800000000,0.985000014,-0.02800000086,20180701333692,584,5,2,20.6700001,26.1137257,0.025190733,0.105970770,7.50587105E-06,30.0,1.240,1
584205200022855,54929841,2458303.802075317,58303.2984144,15.6170244,0.0118308552,0,zr,247.6893836,18.022343500000000,1.088000059,0.04399999976,20180704298403,584,5,2,21.2299995,26.1604595,0.021797817,0.106778495,5.63133881E-06,30.0,1.139,1
584205200022855,55218975,2458306.693273877,58306.1897569,15.6766138,0.0119221555,0,zr,247.6894541,18.022462200000000,5.000999928,-0.00100000005,20180707189745,584,5,2,20.8099995,26.0681515,0.030862991,0.109145418,1.18220769E-05,30.0,1.045,1
584205200022855,55718965,2458311.692902353,58311.1896528,15.6273575,0.0118462285,0,zr,247.6893509,18.022336000000000,0.963000000,0.00100000005,20180712189641,584,5,2,21.4599991,26.0479202,0.025576150,0.101079956,7.76924207E-06,30.0,1.037,1
584205200022855,56020800,2458314.711086725,58314.2080093,15.8795977,0.0122850398,0,zr,247.6894006,18.022346100000000,0.554000020,0.05900000036,20180715207963,584,5,2,21.2900009,26.1133842,0.023925517,0.106821388,6.68924440E-06,30.0,1.039,1
584205200022855,56721157,2458321.714224230,58321.2115741,15.5716324,0.0117655247,0,zr,247.6893840,18.022373200000000,1.335000038,0.03200000152,20180722211539,584,5,2,20.3799992,26.2090607,0.029161448,0.108509928,1.00947773E-05,30.0,1.061,1
584205200022855,57016855,2458324.671012391,58324.1685532,15.6332617,0.0118551003,0,zr,247.6894275,18.022386800000000,0.972000003,0.05799999833,20180725168542,584,5,2,20.0599995,26.1634769,0.031465959,0.111027032,1.17289828E-05,30.0,1.036,1
584205200022855,57327309,2458327.775342964,58327.2730903,15.6666422,0.0119064264,0,zr,247.6893712,18.022341700000000,1.110999942,-0.02899999917,20180728273079,584,5,2,20.1599998,26.0871735,0.032912496,0.097108938,1.30742701E-05,30.0,1.311,1
