HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2460040.55199,2023-04-06.0516665,bn,1.44,15.650,14.252,0.060,7.231,0.401,g
2460040.58712,2023-04-06.0867788,bn,1.98,15.635,14.441,0.073,6.081,0.407,g
2460040.58837,2023-04-06.0880266,bn,1.99,15.777,14.310,0.058,6.858,0.359,g
2460040.58960,2023-04-06.0892603,bn,1.96,15.610,14.317,0.067,6.808,0.416,g
2460044.51313,2023-04-10.0124027,bn,1.53,15.619,14.191,0.059,7.651,0.412,g
2460044.51436,2023-04-10.0136388,bn,1.50,15.589,14.353,0.070,6.588,0.424,g
2460044.51561,2023-04-10.0148829,bn,1.47,15.739,14.269,0.057,7.121,0.369,g
2460044.53726,2023-04-10.0365376,bn,1.48,15.809,14.420,0.061,6.192,0.346,g
2460044.53855,2023-04-10.0378333,bn,1.40,15.959,14.340,0.049,6.669,0.302,g
2460044.53994,2023-04-10.0392215,bn,1.45,15.751,14.410,0.064,6.250,0.365,g
2460045.77998,2023-04-11.2791344,bj,1.47,15.873,14.636,0.070,5.078,0.326,g
2460045.78121,2023-04-11.2803659,bj,1.48,15.792,14.517,0.068,5.666,0.351,g
2460045.78244,2023-04-11.2815981,bj,1.46,15.940,14.492,0.058,5.793,0.306,g
2460053.58840,2023-04-19.0868055,bn,1.42,16.445,14.246,0.030,7.273,0.197,g
2460053.58964,2023-04-19.0880520,bn,1.55,16.487,14.248,0.029,7.255,0.188,g
2460053.59100,2023-04-19.0894050,bn,1.49,16.503,14.294,0.030,6.955,0.186,g
